Genre,Country,Percent
Spoken Word,NL,0
French Variety,NL,0
World,NL,0
Afrikaans,NO,0
Bollywood,NO,0
Cantonese Pop,NO,0
Christian/Gospel,NO,0
Classical,NO,0
Country and Western,NO,3.4543534
Dance,NO,3.9115257
Devotional,NO,0
Easy Listening/Oldies,NO,0
Electronica,NO,1.4450346
Flamenco,NO,0
Folk/Roots,NO,0
Ghazal,NO,0
Hindustani Classical,NO,0
Indie/Alternative,NO,4.5858428
Italiana,NO,0
Jazz,NO,1.6485469
Khaleeji,NO,0
Latin Music,NO,0
Mandarin Pop,NO,0
Metal,NO,4.4052134
Nederlandstalig,NO,0
Oriental Pop,NO,0
Pop,NO,41.6133948
Rap/Hip Hop,NO,7.5002556
Reggae,NO,0
Rock,NO,18.5648975
Schlager,NO,0
Shanson,NO,0
Soul/R 'n' B/Funk,NO,12.8709352
Soundtracks/Musicals/Theatre,NO,0
Spoken Word,NO,0
French Variety,NO,0
World,NO,0
Afrikaans,PL,0
Bollywood,PL,0
Cantonese Pop,PL,0
Christian/Gospel,PL,0
Classical,PL,0
Country and Western,PL,0
Dance,PL,17.9508872
Devotional,PL,0
Easy Listening/Oldies,PL,0
Electronica,PL,1.6946941
Flamenco,PL,0
Folk/Roots,PL,0
Ghazal,PL,0
Hindustani Classical,PL,0
Indie/Alternative,PL,2.8417401
Italiana,PL,0
Jazz,PL,1.6640942
Khaleeji,PL,0
Latin Music,PL,0
Mandarin Pop,PL,0
Metal,PL,4.1570855
Nederlandstalig,PL,0
Oriental Pop,PL,0
Pop,PL,27.6569032
Rap/Hip Hop,PL,11.9245083
Reggae,PL,0
Rock,PL,11.7328089
Schlager,PL,0
Shanson,PL,0
Soul/R 'n' B/Funk,PL,18.5934849
Soundtracks/Musicals/Theatre,PL,1.7837938
Spoken Word,PL,0
French Variety,PL,0
World,PL,0
Afrikaans,PT,0
Bollywood,PT,0
Cantonese Pop,PT,0
Christian/Gospel,PT,0
Classical,PT,2.7130069
Country and Western,PT,0
Dance,PT,5.7040946
Devotional,PT,0
Easy Listening/Oldies,PT,0
Electronica,PT,2.0006092
Flamenco,PT,0
Folk/Roots,PT,0
Ghazal,PT,0
Hindustani Classical,PT,0
Indie/Alternative,PT,10.7301831
Italiana,PT,0
Jazz,PT,0
Khaleeji,PT,0
Latin Music,PT,0
Mandarin Pop,PT,0
Metal,PT,2.3700734
Nederlandstalig,PT,0
Oriental Pop,PT,0
Pop,PT,36.4806572
Rap/Hip Hop,PT,3.8528432
Reggae,PT,0
Rock,PT,20.5524276
Schlager,PT,0
Shanson,PT,0
Soul/R 'n' B/Funk,PT,12.9391072
Soundtracks/Musicals/Theatre,PT,0
Spoken Word,PT,0
French Variety,PT,0
World,PT,2.6569977
Afrikaans,RU,0
Bollywood,RU,0
Cantonese Pop,RU,0
Christian/Gospel,RU,0
Classical,RU,2.7678906
Country and Western,RU,0
Dance,RU,8.9234181
Devotional,RU,0
Easy Listening/Oldies,RU,0
Electronica,RU,0
Flamenco,RU,0
Folk/Roots,RU,0
Ghazal,RU,0
Hindustani Classical,RU,0
Indie/Alternative,RU,0
Italiana,RU,0
Jazz,RU,0
Khaleeji,RU,0
Latin Music,RU,0
Mandarin Pop,RU,0
Metal,RU,7.5914492
Nederlandstalig,RU,0
Oriental Pop,RU,0
Pop,RU,36.7971096
Rap/Hip Hop,RU,9.5698829
Reggae,RU,0
Rock,RU,20.9085371
Schlager,RU,0
Shanson,RU,2.8610738
Soul/R 'n' B/Funk,RU,3.5823545
Soundtracks/Musicals/Theatre,RU,4.0304055
Spoken Word,RU,0
French Variety,RU,0
World,RU,2.9678787
Afrikaans,SE,0
Bollywood,SE,0
Cantonese Pop,SE,0
Christian/Gospel,SE,0
Classical,SE,3.2794908
Country and Western,SE,2.5876336
Dance,SE,3.3469418
Devotional,SE,0
Easy Listening/Oldies,SE,0
Electronica,SE,0
Flamenco,SE,0
